driver,team,BHR,SAU,AUS,AZE,MIA,MON,ESP,CAN,AUT,GBR,HUN,BEL,NED,ITA,SIN,JPN,QAT,USA,MXC,SAP,LVG,ABU
Verstappen,RB,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1
Perez,RB,2,1,5,1,2,16,4,6,3,6,3,2,4,2,8,Ret,10,4,Ret,4,3,4
Hamilton,Merc,5,5,2,6,6,4,2,3,8,3,4,4,6,6,3,5,Ret,DSQ,2,8,7,9
Alonso,Aston,3,3,3,4,3,2,7,2,5,7,9,5,2,9,15,8,6,Ret,Ret,3,9,7
Leclerc,Ferarri,Ret,7,Ret,3,7,6,11,4,2,9,7,3,Ret,4,4,4,5,DSQ,3,DNS,2,2
Norris,McLaren,17,17,6,9,17,9,17,13,4,2,2,7,7,8,2,2,3,2,5,2,Ret,5
Sainz,Ferarri,4,6,12,5,5,8,5,5,6,10,8,,5,3,1,6,DNS,3,4,6,6,18
Russell,Merc,7,4,Ret,8,4,5,3,Ret,7,5,6,6,17,5,16,7,4,5,6,Ret,8,3
Piastri,McLaren,Ret,15,8,11,19,10,13,11,16,4,5,,9,12,7,3,2,Ret,8,14,10,6
Stroll,Aston,6,Ret,4,7,12,Ret,6,9,9,14,10,9,11,16,WD,Ret,11,7,17,5,5,10
Gasly,Alpine,9,9,13,14,8,7,10,12,10,18,Ret,11,3,15,6,10,12,6,11,7,11,13
Ocon,Alpine,Ret,8,14,15,9,3,8,8,14,Ret,Ret,8,10,Ret,Ret,9,7,Ret,10,10,4,12
Albon,Williams,10,Ret,Ret,12,14,14,16,7,11,8,11,14,8,7,11,Ret,13,9,9,Ret,12,14
Tsunoda,AlphaT,11,11,10,10,11,15,12,14,19,16,15,10,15,DNS,Ret,12,15,8,12,9,18,8
Bottas,AlfaRomeo,8,18,11,18,13,11,19,10,15,12,12,12,14,10,Ret,Ret,8,12,15,Ret,17,19
Hulkenberg,Haas,15,12,7,17,15,17,15,15,Ret,13,14,18,12,17,13,14,16,11,13,12,19,15
Ricciardo,AlphaT,,,,,,,,,,,13,16,WD,,,,,15,7,13,14,11
Guanyu,AlfaRomeo,16,13,9,Ret,16,13,9,16,12,15,16,13,Ret,14,12,13,9,13,14,Ret,15,17
Magnussen,Haas,13,10,17,13,10,19,18,17,18,Ret,17,15,16,18,10,15,14,14,Ret,Ret,13,20
Lawson,AlphaT,,,,,,,,,,,,,13,11,9,11,17,,,,,
Sargeant,Williams,12,16,16,16,20,18,20,Ret,13,11,18,17,Ret,13,14,Ret,Ret,10,16,11,16,16
de Vries,AlphaT,14,14,15,Ret,18,12,14,18,17,17,,,,,,,,,,,,
